method,t,wnorm,loss
OGD,87601,inf,inf
OGD,87651,inf,inf
OGD,87701,inf,inf
OGD,87751,inf,inf
OGD,87801,inf,inf
OGD,87851,inf,inf
OGD,87901,inf,inf
OGD,87951,inf,inf
OGD,88001,inf,inf
OGD,88051,inf,nan
OGD,88101,inf,inf
OGD,88151,inf,inf
OGD,88201,inf,inf
OGD,88251,inf,inf
OGD,88301,inf,inf
OGD,88351,inf,inf
OGD,88401,inf,inf
OGD,88451,inf,inf
OGD,88501,inf,nan
OGD,88551,inf,nan
OGD,88601,inf,inf
OGD,88651,inf,inf
OGD,88701,inf,nan
OGD,88751,inf,inf
OGD,88801,inf,inf
OGD,88851,inf,inf
OGD,88901,inf,nan
OGD,88951,inf,inf
OGD,89001,inf,nan
OGD,89051,inf,inf
OGD,89101,inf,nan
OGD,89151,inf,inf
OGD,89201,inf,inf
OGD,89251,inf,inf
OGD,89301,inf,nan
OGD,89351,inf,inf
OGD,89401,inf,inf
OGD,89451,inf,inf
OGD,89501,inf,nan
OGD,89551,inf,inf
OGD,89601,inf,inf
OGD,89651,inf,inf
OGD,89701,inf,nan
OGD,89751,inf,inf
OGD,89801,inf,inf
OGD,89851,inf,inf
OGD,89901,inf,nan
OGD,89951,inf,nan
OGD,90001,inf,nan
OGD,90051,inf,inf
OGD,90101,inf,nan
OGD,90151,inf,inf
OGD,90201,inf,inf
OGD,90251,inf,inf
OGD,90301,inf,nan
OGD,90351,inf,nan
OGD,90401,inf,inf
OGD,90451,inf,inf
OGD,90501,inf,nan
OGD,90551,inf,inf
OGD,90601,inf,nan
OGD,90651,inf,inf
OGD,90701,inf,nan
OGD,90751,inf,nan
OGD,90801,inf,inf
OGD,90851,inf,inf
OGD,90901,inf,nan
OGD,90951,inf,inf
OGD,91001,inf,inf
OGD,91051,inf,nan
OGD,91101,inf,nan
OGD,91151,inf,inf
OGD,91201,inf,inf
OGD,91251,inf,inf
OGD,91301,inf,nan
OGD,91351,inf,inf
OGD,91401,inf,inf
OGD,91451,inf,inf
OGD,91501,inf,nan
OGD,91551,inf,inf
OGD,91601,inf,nan
OGD,91651,inf,inf
OGD,91701,inf,nan
OGD,91751,inf,inf
OGD,91801,inf,inf
OGD,91851,inf,nan
OGD,91901,inf,nan
OGD,91951,inf,nan
OGD,92001,inf,inf
OGD,92051,inf,inf
OGD,92101,inf,nan
OGD,92151,inf,nan
OGD,92201,inf,inf
OGD,92251,inf,inf
OGD,92301,inf,nan
OGD,92351,inf,inf
OGD,92401,inf,inf
OGD,92451,inf,inf
OGD,92501,inf,nan
OGD,92551,inf,nan
OGD,92601,inf,inf
OGD,92651,inf,inf
