protocol,window_idx,window,kind,lr,M,P,weighted_r2,diverged,n_steps,n_bind,bind_rate,r_p50,r_p90,r_p99,r_max,disp_mean,disp_max
per-step,1,"[0,120)",grid,8.0,2.0,16.0,-53.38438320288624,true,500,48,0.096,0.38987525986104304,1.900327144765974,7.227273548268494,15.214463279342464,0.5707308027815916,11.31370849898476
per-step,1,"[0,120)",grid,8.0,8.0,64.0,-677.9438857069214,true,500,19,0.038,0.5226835692695972,1.7421976891770947,21.80862193440705,48.83264405781392,1.3708605165443892,40.882438143994435
per-step,2,"[150,270)",grid,0.5,0.5,0.25,0.20370278250326979,false,211,50,0.23696682464454977,0.3002893364410502,0.7450591051195513,2.161253504388023,2.913682649845257,0.021106349513627047,0.25
per-step,2,"[150,270)",grid,0.5,2.0,1.0,0.22718853267471184,false,211,1,0.004739336492890996,0.3047513245629462,0.6820853779300655,1.1667424312456045,2.9463502489398437,0.02417877724608303,0.5
per-step,2,"[150,270)",grid,0.5,8.0,4.0,0.22859813811667673,false,211,0,0.0,0.3047513245629462,0.6668427467334249,1.087074227620315,2.9463502489398437,0.02422751288445218,0.5
per-step,2,"[150,270)",grid,2.0,0.5,1.0,0.40338298326139155,false,211,35,0.16587677725118483,0.25798663996660576,0.6304832413958498,1.634848756952307,2.9666676293931147,0.07751022674709773,1.0
per-step,2,"[150,270)",grid,2.0,2.0,4.0,0.06059794503092031,false,211,6,0.02843601895734597,0.2665182140732157,0.7034414217294656,2.3143929070775995,6.040513910521964,0.12124214552748329,2.1847565633743686
per-step,2,"[150,270)",grid,2.0,8.0,16.0,-0.1437330153698564,false,211,2,0.009478672985781991,0.2628663118512803,0.730896151024132,3.880414521127388,13.815495647953462,0.1381173016296155,2.1847565633743686
per-step,2,"[150,270)",grid,8.0,0.5,4.0,-1.2429639067272116,true,211,94,0.44549763033175355,0.387752713762255,1.1567844568409928,3.3432913405088174,5.976666779530933,0.403633104284771,4.0
per-step,2,"[150,270)",grid,8.0,2.0,16.0,-17.700194915466394,true,211,28,0.13270142180094788,0.22714453538295973,2.441619572512463,9.98301505564214,16.498849853514475,0.9226324943236869,11.31370849898476
per-step,2,"[150,270)",grid,8.0,8.0,64.0,-234.9766586006992,true,211,10,0.04739336492890995,0.3398519189527547,2.3594164426269257,23.299086523499987,84.26039185055042,2.0286004703490006,40.685623007375895
per-step,3,"[300,420)",grid,0.5,0.5,0.25,0.19158939496481397,false,200,49,0.245,0.34673567540677974,0.7551208607524942,1.3798888289090905,1.8048071774263883,0.022338576268873506,0.25
per-step,3,"[300,420)",grid,0.5,2.0,1.0,0.18942726334548476,false,200,1,0.005,0.34975787853830387,0.7169558260164683,1.3967512981721972,2.122832568042795,0.027056461780960203,0.5
per-step,3,"[300,420)",grid,0.5,8.0,4.0,0.18935181191785444,false,200,0,0.0,0.3498409869453737,0.7175208369937731,1.3967720146577296,2.122832568042795,0.027096224530779804,0.5
per-step,3,"[300,420)",grid,2.0,0.5,1.0,0.2693298624234589,false,200,56,0.28,0.32511496222684755,0.8818742697288525,1.371351986530058,2.7860522315824703,0.09033801109238546,1.0
per-step,3,"[300,420)",grid,2.0,2.0,4.0,-0.930994551969897,false,200,17,0.085,0.3166055172357417,1.7484129477936292,4.478396005589101,5.801957011707888,0.1734373016646618,2.6240046926790312
per-step,3,"[300,420)",grid,2.0,8.0,16.0,-8.733556353033205,true,200,7,0.035,0.37264435250281314,1.487410108128839,13.866537722521663,16.492942298451595,0.31881608158700586,8.0
per-step,3,"[300,420)",grid,8.0,0.5,4.0,-2.5594893113021326,true,200,120,0.6,0.6281405533622222,1.7594702790969468,3.95858988337549,5.475052280800695,0.4831666137558615,4.0
per-step,3,"[300,420)",grid,8.0,2.0,16.0,-34.03248663154376,true,200,51,0.255,0.3517142371945529,4.045877747602893,10.468823288191459,23.501886405278086,1.1331738286939996,11.31370849898476
per-step,3,"[300,420)",grid,8.0,8.0,64.0,-467.952592393278,true,200,17,0.085,0.47595792843793505,6.396605787774663,21.973982863482007,144.8653064002404,2.7389663525301557,45.25483399593904
