protocol,window_idx,window,kind,lr,M,P,weighted_r2,diverged,n_steps,n_bind,bind_rate,r_p50,r_p90,r_p99,r_max,disp_mean,disp_max
per-step,3,"[300,420)",grid,0.5,16.0,8.0,0.18332355016664248,false,7500,1,0.00013333333333333334,0.8698192019828508,1.5716043882458415,2.7966535710484646,16.66786635641464,0.010164383752839441,0.5
per-step,3,"[300,420)",grid,1.0,0.5,0.5,0.15433645996136391,false,7500,6359,0.8478666666666667,0.829383391695168,1.654941475932463,3.300356231872827,16.209401211412157,0.010495938206410411,0.5
per-step,3,"[300,420)",grid,1.0,1.0,1.0,0.22192382384924048,false,7500,2649,0.3532,0.8320738850108844,1.5920655634880512,3.237121640398056,17.05426737019336,0.01648776662270983,1.0
per-step,3,"[300,420)",grid,1.0,2.0,2.0,0.2577034795953763,false,7500,328,0.04373333333333333,0.8513227431112853,1.556187870253022,3.1220102010577824,17.06880856269358,0.01948223654208196,1.0
per-step,3,"[300,420)",grid,1.0,4.0,4.0,0.2609477806403505,false,7500,47,0.006266666666666667,0.851354037248465,1.5552248136358044,3.1673552349671734,16.835363097481444,0.020043055501455926,1.0
per-step,3,"[300,420)",grid,1.0,8.0,8.0,0.2513230053763359,false,7500,18,0.0024,0.8519813274563547,1.5533059174461545,3.101971352468895,17.073524857220903,0.02042558127014113,1.0
per-step,3,"[300,420)",grid,1.0,16.0,16.0,0.21395845012876435,false,7500,12,0.0016,0.8498541867831978,1.5528461823260438,3.102969229430659,37.39866127372629,0.021234396641781547,1.1859989066577619
per-step,3,"[300,420)",grid,2.0,0.5,1.0,0.23950791707125507,false,7500,6393,0.8524,0.8239279018089085,1.6157638868175244,3.3958104307292976,16.687439705572338,0.021105808996116582,1.0
per-step,3,"[300,420)",grid,2.0,1.0,2.0,0.30589990831867353,false,7500,2656,0.35413333333333336,0.8273799054212201,1.6008403725436022,3.473636367335136,17.02871886699562,0.03327943527806488,2.0
per-step,3,"[300,420)",grid,2.0,2.0,4.0,0.3008023430033935,false,7500,391,0.05213333333333333,0.8323752012226622,1.6050213349595333,3.6879697203770845,15.689397162318027,0.0392752030160277,2.6240046926790312
per-step,3,"[300,420)",grid,2.0,4.0,8.0,0.22294877287382864,false,7500,83,0.011066666666666667,0.8135696994681371,1.5830484284529425,4.18217191196425,18.124532971142607,0.041539241315612256,4.618802153517007
per-step,3,"[300,420)",grid,2.0,8.0,16.0,-0.009055236335985484,false,7500,44,0.005866666666666667,0.8036728865180609,1.5606782941274617,4.939665399177555,37.44233830122737,0.04509890020034168,8.0
per-step,3,"[300,420)",grid,2.0,16.0,32.0,-0.5757626784278571,true,7500,27,0.0036,0.7967207994020771,1.5437812233570634,5.504727281817229,85.33535761230785,0.050475323058023186,14.310835055998654
per-step,3,"[300,420)",grid,4.0,0.5,2.0,0.31766808773725563,false,7500,6418,0.8557333333333333,0.8293000863394604,1.6216735679299628,3.3780321582974486,17.15285132203527,0.04288337275110752,2.0
per-step,3,"[300,420)",grid,4.0,1.0,4.0,0.30557652037075045,false,7500,2618,0.3490666666666667,0.8163471053993091,1.6447064023845486,3.776585443390904,17.03035587292241,0.06622363348480514,4.0
per-step,3,"[300,420)",grid,4.0,2.0,8.0,0.12095841665620377,false,7500,560,0.07466666666666667,0.7559157230861657,1.7522693200790902,4.481526375686479,17.32514166103698,0.07763850383863823,5.65685424949238
per-step,3,"[300,420)",grid,4.0,4.0,16.0,-0.6333855460413214,true,7500,220,0.029333333333333333,0.6894035415436373,1.7417879687444882,6.298281099594755,32.582957903927664,0.08671183901757495,11.169614732963327
per-step,3,"[300,420)",grid,4.0,8.0,32.0,-2.0371578977034015,true,7500,106,0.014133333333333333,0.661258184213217,1.5890814582581745,9.692396037601034,49.392010496596484,0.09850620566187736,18.475208614068027
per-step,3,"[300,420)",grid,4.0,16.0,64.0,-7.597709830948979,true,7500,68,0.009066666666666667,0.6511865712185787,1.5575043315315735,15.253542889706354,78.53897316558725,0.12143731947984374,36.950417228136054
per-step,3,"[300,420)",grid,8.0,0.5,4.0,0.2883949609211055,false,7500,6446,0.8594666666666667,0.8282493041806096,1.5955445862451254,3.472760031906372,17.011288313968542,0.08682758819509043,4.0
per-step,3,"[300,420)",grid,8.0,1.0,8.0,-0.06665130556785615,false,7500,2716,0.3621333333333333,0.8193985737321401,1.6920768560342683,3.9149893736771704,18.280256344741254,0.1323655789959938,8.0
per-step,3,"[300,420)",grid,8.0,2.0,16.0,-1.0429573363816314,true,7500,883,0.11773333333333333,0.6418211494163324,2.1674920562776196,5.310771535230043,23.501886405278086,0.15395355865011726,11.31370849898476
per-step,3,"[300,420)",grid,8.0,4.0,32.0,-4.626194228488631,true,7500,392,0.05226666666666667,0.5168174213650065,2.440764833686293,8.149449395347942,63.9415546842536,0.1770524738591454,22.62741699796952
per-step,3,"[300,420)",grid,8.0,8.0,64.0,-16.90705934386445,true,7500,219,0.0292,0.4728600117105086,1.923536864459024,12.842775152956376,144.8653064002404,0.2182488015834863,45.25483399593904
per-step,3,"[300,420)",grid,8.0,16.0,128.0,-41.47691102828455,true,7500,130,0.017333333333333333,0.4860954288975962,1.7547141091830734,21.705837742496207,147.8884268420854,0.2937908650521582,73.90083445627211
per-step,3,"[300,420)",published,2.0,5.0,10.0,0.16749751773151733,false,7500,65,0.008666666666666666,0.8105714900851639,1.5763773905421041,4.512914805018483,23.84724598223925,0.042230032994609236,5.773502691896258
per-step,3,"[300,420)",matched,3.0,2.0,6.0,0.250341212604841,false,7500,465,0.062,0.7925963382245826,1.6562926497562043,4.218687533297828,16.848062218937255,0.05829986473898768,4.242640687119285
per-step,4,"[450,570)",grid,0.5,0.5,0.25,0.07856238893612999,false,7500,6476,0.8634666666666667,0.829006301008095,1.6318290884476931,3.2165984706442883,9.463172949275272,0.005161837960366638,0.25
per-step,4,"[450,570)",grid,0.5,1.0,0.5,0.11982686672020815,false,7500,2535,0.338,0.8308279445578601,1.5865133677731205,3.303293989617871,10.069914404584896,0.008118512780058902,0.5
per-step,4,"[450,570)",grid,0.5,2.0,1.0,0.14476214946811183,false,7500,311,0.041466666666666666,0.8514719859350384,1.5459391941124445,3.130296423259098,9.811060832942001,0.009532743539835995,0.5000000000000001
per-step,4,"[450,570)",grid,0.5,4.0,2.0,0.15210422886336472,false,7500,35,0.004666666666666667,0.8570601778707065,1.5353849744196633,2.9016038619762043,10.107719537771718,0.009793420423939225,0.5000000000000001
per-step,4,"[450,570)",grid,0.5,8.0,4.0,0.15371792323347677,false,7500,2,0.0002666666666666667,0.857395453944676,1.5309511313942434,2.900907421709828,10.291714322246442,0.009849957428585417,0.5000000000000001
per-step,4,"[450,570)",grid,0.5,16.0,8.0,0.15396710120636203,false,7500,0,0.0,0.8575454651820786,1.5316393799251629,2.8924196389342867,10.29197652746103,0.009855210527546156,0.5000000000000001
per-step,4,"[450,570)",grid,1.0,0.5,0.5,0.1366128650563918,false,7500,6477,0.8636,0.8286307147685124,1.6135918983224058,3.3259490590657204,9.537775730601,0.010242359782971024,0.5
per-step,4,"[450,570)",grid,1.0,1.0,1.0,0.19534347601952695,false,7500,2542,0.3389333333333333,0.8347002259803709,1.5425994438865007,3.2801442455496534,9.990542650754845,0.01621873454228719,1.0
per-step,4,"[450,570)",grid,1.0,2.0,2.0,0.22639382639047945,false,7500,289,0.038533333333333336,0.8493377373893449,1.493503122039388,3.147662764818317,12.089862182897871,0.018884547775827085,1.0000000000000002
per-step,4,"[450,570)",grid,1.0,4.0,4.0,0.23234323925841904,false,7500,37,0.004933333333333333,0.8560202516807831,1.4924967975651253,2.956367119979822,12.824920832305608,0.019407017017638948,1.0000000000000002
per-step,4,"[450,570)",grid,1.0,8.0,8.0,0.22843965552524392,false,7500,10,0.0013333333333333333,0.8543961371518828,1.4890731160836503,3.0094860292092775,20.876878015501333,0.019622987877358673,1.0000000000000002
per-step,4,"[450,570)",grid,1.0,16.0,16.0,0.21437619029609944,false,7500,4,0.0005333333333333334,0.8544459715844047,1.4859589098427153,3.014992709993298,37.65970689091282,0.01991667336587404,1.0000000000000002
per-step,4,"[450,570)",grid,2.0,0.5,1.0,0.21798553479372074,false,7500,6512,0.8682666666666666,0.8302982304154104,1.5646703813875074,3.360758810679717,10.03737082677827,0.020416264811078368,1.0
per-step,4,"[450,570)",grid,2.0,1.0,2.0,0.28673739973878243,false,7500,2524,0.33653333333333335,0.8324676982117487,1.5345802013328322,3.26197899238372,12.211691894740568,0.03235027020338758,2.0
per-step,4,"[450,570)",grid,2.0,2.0,4.0,0.30609432344599896,false,7500,325,0.043333333333333335,0.8354232634969109,1.5147497934650755,3.3620694698572624,12.372012525470335,0.03728505673810063,2.0000000000000004
per-step,4,"[450,570)",grid,2.0,4.0,8.0,0.29586664398931195,false,7500,61,0.008133333333333333,0.8285500156003115,1.513791515845651,3.5291923147771445,14.177861840491756,0.03843101223815055,2.0000000000000004
per-step,4,"[450,570)",grid,2.0,8.0,16.0,0.2568995907513635,false,7500,25,0.0033333333333333335,0.8208678385156656,1.4926244522821484,3.8093059954312243,29.403773956370806,0.0394567986420989,2.0000000000000004
per-step,4,"[450,570)",grid,2.0,16.0,32.0,0.11873178348467539,false,7500,16,0.0021333333333333334,0.8164352519338931,1.4913397595376896,4.035006564718678,81.59223759081782,0.041318153007844284,2.0000000000000004
per-step,4,"[450,570)",grid,4.0,0.5,2.0,0.30572082691585234,false,7500,6528,0.8704,0.8303200830184284,1.554346838252581,3.279567138849109,12.054141517080415,0.04133751745417314,2.0
per-step,4,"[450,570)",grid,4.0,1.0,4.0,0.3276544202875583,false,7500,2519,0.33586666666666665,0.818492303542017,1.5618853353744182,3.5112388494591866,11.490748546306657,0.06451028061551342,4.0
per-step,4,"[450,570)",grid,4.0,2.0,8.0,0.2692475479844687,false,7500,462,0.0616,0.7760871361407218,1.651051164399651,3.9344663527186174,13.880871506769825,0.07516566306354627,4.915788984608159
per-step,4,"[450,570)",grid,4.0,4.0,16.0,0.1763604123593504,false,7500,157,0.020933333333333335,0.7306735377918137,1.6019499220594102,5.609429361357429,22.729251883783935,0.07803410249940042,4.915788984608159
per-step,4,"[450,570)",grid,4.0,8.0,32.0,-0.089164387968234,false,7500,77,0.010266666666666667,0.699425442091976,1.5115830324110389,8.120004002533678,48.312455344529255,0.08261129178471771,4.915788984608159
per-step,4,"[450,570)",grid,4.0,16.0,64.0,-0.8613042561159967,true,7500,53,0.007066666666666666,0.6878621720533198,1.4719805558568375,13.198846633021386,80.75793545680709,0.0921167147278177,4.915788984608159
per-step,4,"[450,570)",grid,8.0,0.5,4.0,0.3064049995218622,false,7500,6481,0.8641333333333333,0.8212177417284183,1.572381657387133,3.38509496510631,11.22588938350158,0.08492091647914889,4.0
per-step,4,"[450,570)",grid,8.0,1.0,8.0,0.07823123144952382,false,7500,2606,0.34746666666666665,0.796380107245771,1.6994762315693281,3.630952005526084,10.065871365110251,0.1297071433725647,8.0
per-step,4,"[450,570)",grid,8.0,2.0,16.0,-0.4645362355443108,true,7500,793,0.10573333333333333,0.6570807788169695,2.0614115336071865,4.733899220690953,18.458442965182314,0.1515427662475671,11.31370849898476
per-step,4,"[450,570)",grid,8.0,4.0,32.0,-1.823720853483425,true,7500,313,0.04173333333333333,0.5617854337111039,2.125341451329254,7.053254881436269,26.65621467342378,0.16996384230640704,21.190799480322873
per-step,4,"[450,570)",grid,8.0,8.0,64.0,-5.1396460101576285,true,7500,164,0.021866666666666666,0.5213011399762189,1.7928662759863783,11.320406671755126,56.85285061621214,0.1938217667510248,36.950417228136054
per-step,4,"[450,570)",grid,8.0,16.0,128.0,-17.114709149331013,true,7500,102,0.0136,0.5256638135482348,1.661479930374636,18.91423927046267,124.86473010623618,0.24429746134741484,64.0
per-step,4,"[450,570)",published,2.0,5.0,10.0,0.28768707376408553,false,7500,46,0.0061333333333333335,0.8268844201612356,1.5092342176655824,3.753041897950921,19.350184085830954,0.03871482549882475,2.0000000000000004
per-step,4,"[450,570)",matched,3.0,2.0,6.0,0.3208394349507344,false,7500,391,0.05213333333333333,0.8103735392406192,1.5661041556175788,3.6215597945776064,12.490194414754967,0.0557357687022516,3.000000000000001
per-step,5,"[600,720)",grid,0.5,0.5,0.25,0.09293204589217763,false,5462,4631,0.8478579274990846,0.8270853460326077,1.6569078383840385,3.168185993133373,7.093878123274428,0.006220623681017266,0.25
per-step,5,"[600,720)",grid,0.5,1.0,0.5,0.13463051030585838,false,5462,1943,0.35573050164774805,0.8351725405373147,1.610888646399329,3.2603767845404263,8.515185081758602,0.00966203513872464,0.5
per-step,5,"[600,720)",grid,0.5,2.0,1.0,0.15617362926998857,false,5462,250,0.045770779934090074,0.8534996811675071,1.5596997784130209,3.144920107575476,8.634718606367075,0.011310852351818605,0.5000000000000001
per-step,5,"[600,720)",grid,0.5,4.0,2.0,0.16098336826654203,false,5462,28,0.005126327352618088,0.8564920491867394,1.559402934531218,3.0285228810065563,7.739566440224301,0.011639294573304908,0.5000000000000001
per-step,5,"[600,720)",grid,0.5,8.0,4.0,0.1616770162859812,false,5462,0,0.0,0.8555369232237391,1.5495091412289732,3.018207175233804,7.725462969010992,0.01170647618006378,0.5000000000000001
per-step,5,"[600,720)",grid,0.5,16.0,8.0,0.1616770162859812,false,5462,0,0.0,0.8555369232237391,1.5495091412289732,3.018207175233804,7.725462969010992,0.01170647618006378,0.5000000000000001
per-step,5,"[600,720)",grid,1.0,0.5,0.5,0.15077064433773213,false,5462,4639,0.8493225924569755,0.8274704418102254,1.6408105672648254,3.3605095193086956,8.562391928308971,0.012306979673184058,0.5
per-step,5,"[600,720)",grid,1.0,1.0,1.0,0.20598017357371678,false,5462,1902,0.3482240937385573,0.8320329635830457,1.5807449404865956,3.376305445370704,8.907522857616966,0.019198602013726713,1.0
per-step,5,"[600,720)",grid,1.0,2.0,2.0,0.22670826847316516,false,5462,247,0.04522153057488099,0.844207520557767,1.5547060504092207,3.3178406501877187,10.070874761969725,0.022438319900609127,1.0000000000000002
per-step,5,"[600,720)",grid,1.0,4.0,4.0,0.22609468752660677,false,5462,40,0.007323324789454412,0.8378906622710273,1.5397678944937045,3.4824953071603737,13.544753340434058,0.02319478161492418,1.0000000000000002
per-step,5,"[600,720)",grid,1.0,8.0,8.0,0.21929141988511758,false,5462,15,0.0027462467960454044,0.8310694332893698,1.5272252792722372,3.6183382496338363,21.28476770460191,0.02359147513953709,1.0000000000000002
per-step,5,"[600,720)",grid,1.0,16.0,16.0,0.1966549543948567,false,5462,12,0.0021969974368363236,0.8295289522113161,1.5254325638527662,3.639881311443715,49.77029882091606,0.024316611226699942,1.0000000000000002
per-step,5,"[600,720)",grid,2.0,0.5,1.0,0.22348426823200707,false,5462,4638,0.8491395093372391,0.8240733898456336,1.6108505731684142,3.471210458430373,9.151857668903709,0.024692017590210568,1.0
per-step,5,"[600,720)",grid,2.0,1.0,2.0,0.2693264965921598,false,5462,1854,0.339436103991212,0.8208169085115845,1.5894548230661414,3.484002038802412,10.768343413087045,0.03844696163992559,2.0
per-step,5,"[600,720)",grid,2.0,2.0,4.0,0.25595577719989615,false,5462,316,0.05785426583668986,0.8015601569531676,1.6072360482618808,3.8909829983170137,12.43516029587435,0.044961415532939614,2.3094010767585034
per-step,5,"[600,720)",grid,2.0,4.0,8.0,0.15985250110234006,false,5462,96,0.01757597949469059,0.7658640654402189,1.612146260023851,5.491577503000169,27.87587225278989,0.048037854544372975,4.0
per-step,5,"[600,720)",grid,2.0,8.0,16.0,-0.12144252444378179,false,5462,52,0.009520322226290736,0.74300398899801,1.5561462843469058,7.828272290870019,59.620140537590444,0.05268164057259885,6.0820700496552345
per-step,5,"[600,720)",grid,2.0,16.0,32.0,-0.8026207979695092,true,5462,39,0.007140241669718052,0.7377602289053219,1.5413751191111167,11.976644596978456,75.33969297568336,0.059592698305871675,6.275716324421889
per-step,5,"[600,720)",grid,4.0,0.5,2.0,0.2791811926390748,false,5462,4644,0.8502380080556573,0.8195740156780544,1.5941996014458726,3.5459725237066926,11.826422328225256,0.04972647757838179,2.0
per-step,5,"[600,720)",grid,4.0,1.0,4.0,0.22435429553072705,false,5462,1788,0.3273526180886122,0.7928845714511998,1.6608783051515434,3.9161966856866317,12.829221295560421,0.07659986508172195,4.0
per-step,5,"[600,720)",grid,4.0,2.0,8.0,-0.0301553296941095,false,5462,460,0.08421823507872574,0.7160761084047063,1.8307837327303673,5.086585489958159,20.269464962446445,0.09004865795072506,5.65685424949238
