stream,phase,window,mode,cap,lr,w_max,true_blowup,new_div,L_ratio,P_ratio,jane_div,new_div_k5,new_div_k10,new_div_k20
crypto,full,0,snomd,2.0,8.0,11.23462260547089,false,false,1.6195832220767536,1.7339454371588008,false,false,false,false
crypto,full,0,snomd,8.0,8.0,18.494253800883197,false,true,2.4258552191127016,4.148369767446627,true,true,true,true
crypto,full,0,snomd,32.0,8.0,18.494253800883197,false,true,2.706787467376317,4.148369767446627,true,true,true,true
crypto,full,0,ogd,0.0,0.01,2.3558987291109905,false,false,1.1055092104187572,1.0799231200931294,false,false,false,false
crypto,full,0,ogd,0.0,0.1,16857.613615201248,false,true,1054200.0101086742,3858519.0848974814,true,true,true,true
crypto,full,0,ogd,0.0,1.0,2.0778517731074535e+34,true,true,3.513276560020682e+66,1.2886393598513706e+67,true,true,true,true
crypto,full,0,ogd,0.0,4.0,4.288830084314616e+153,true,true,2.2324577131307317e+299,1.0895389668543734e+299,true,true,true,true
crypto,full,0,snomd,1000000000.0,0.01,0.039612652093238394,false,false,0.9985110767023239,0.9987258226007626,false,false,false,false
crypto,full,0,snomd,1000000000.0,0.1,0.21580882606549098,false,false,0.9964416921680671,0.997192558721185,false,false,false,false
crypto,full,0,snomd,1000000000.0,1.0,0.9999999999999999,false,false,1.0335244229983043,1.0237171542402659,false,false,false,false
crypto,full,0,snomd,1000000000.0,4.0,4.577020425918854,false,false,1.2435987937038968,1.1433033146499936,false,false,false,false
crypto,full,1,snomd,0.5,0.5,0.31971070470139834,false,false,1.0077176892573099,0.9887373914723702,false,false,false,false
crypto,full,1,snomd,2.0,0.5,0.5736152768897265,false,false,1.0178381139154637,1.006530085281448,false,false,false,false
crypto,full,1,snomd,8.0,0.5,0.9847762858637253,false,false,1.0346832539264144,1.0367384624215035,false,false,false,false
crypto,full,1,snomd,32.0,0.5,0.9847762858637253,false,false,1.0401043752150763,1.0476410669455478,false,false,false,false
crypto,full,1,snomd,0.5,1.0,0.5335516945837857,false,false,1.0169398748734821,0.9988730119062,false,false,false,false
crypto,full,1,snomd,2.0,1.0,1.1138305720083923,false,false,1.04196176117538,1.0351902301381326,false,false,false,false
crypto,full,1,snomd,8.0,1.0,1.9918672742140193,false,false,1.0802963310691296,1.0992376133348472,false,false,false,false
crypto,full,1,snomd,32.0,1.0,1.9999088299414576,false,false,1.0920678411279876,1.1222634708090244,false,false,false,false
crypto,full,1,snomd,0.5,2.0,1.0625889770722337,false,false,1.0375876870651866,1.0208496386165187,false,false,false,false
crypto,full,1,snomd,2.0,2.0,2.2149882208641904,false,false,1.106489835191445,1.1073119006698693,false,false,false,false
crypto,full,1,snomd,8.0,2.0,4.096537314098462,false,false,1.227185203249465,1.242107729010416,false,false,false,false
crypto,full,1,snomd,32.0,2.0,5.92905814682007,false,false,1.3377668217394243,1.3316839868795205,false,false,false,false
crypto,full,1,snomd,0.5,4.0,2.0,false,false,1.0869623000080908,1.073195236221564,false,false,false,false
crypto,full,1,snomd,2.0,4.0,4.751004722784288,false,false,1.2744499009756443,1.279859009871403,false,false,false,false
crypto,full,1,snomd,8.0,4.0,12.161917681747527,false,true,2.062294980642718,3.356567453479805,true,true,true,true
crypto,full,1,snomd,32.0,4.0,47.96408609208069,false,true,10.625218220573174,25.701733114535845,true,true,true,true
crypto,full,1,snomd,0.5,8.0,4.0,false,false,1.189887016362338,1.1867347868569682,false,false,false,false
crypto,full,1,snomd,2.0,8.0,9.090402467901026,false,false,1.833376290072469,2.4066379211641813,false,false,false,false
crypto,full,1,snomd,8.0,8.0,39.810067936949,false,true,7.241200682616175,18.66585258088547,true,true,true,true
crypto,full,1,snomd,32.0,8.0,125.88240099329889,false,true,72.60011934199348,224.00482448420024,true,true,true,true
crypto,full,1,ogd,0.0,0.01,0.24943095875344207,false,false,1.0061180172674058,1.0010992201370246,false,false,false,false
crypto,full,1,ogd,0.0,0.1,1.385623136822329,false,false,1.0884634667792312,1.1951477300028863,false,false,false,false
crypto,full,1,ogd,0.0,1.0,8.965441217095004e+39,true,true,1.2761556678864714e+78,3.972842121429052e+78,true,true,true,true
crypto,full,1,ogd,0.0,4.0,8.720806595567827e+153,true,true,7.930132431394813e+299,2.787995376622967e+299,true,true,true,true
crypto,full,1,snomd,1000000000.0,0.01,0.03431459480490755,false,false,0.9995816613823278,0.9970677534920371,false,false,false,false
crypto,full,1,snomd,1000000000.0,0.1,0.25892186243901627,false,false,1.004369232134992,0.993340326749786,false,false,false,false
crypto,full,1,snomd,1000000000.0,1.0,1.9999088299414576,false,false,1.0920678411279876,1.1222634708090244,false,false,false,false
crypto,full,1,snomd,1000000000.0,4.0,212.0214949025244,false,true,358.9188032724688,579.9965174381759,true,true,true,true
crypto,full,2,snomd,0.5,0.5,0.2886360183515674,false,false,1.0215865428010131,1.040992157438991,false,false,false,false
crypto,full,2,snomd,2.0,0.5,0.5378973168395341,false,false,1.0395114493207893,1.0505647838246224,false,false,false,false
crypto,full,2,snomd,8.0,0.5,0.7258692316135851,false,false,1.0610124324452797,1.0524625406120993,false,false,false,false
crypto,full,2,snomd,32.0,0.5,0.7330017569432221,false,false,1.0682927746544002,1.0692568174559136,false,false,false,false
crypto,full,2,snomd,0.5,1.0,0.5133661390486248,false,false,1.0381481041501281,1.0581891175419171,false,false,false,false
crypto,full,2,snomd,2.0,1.0,1.0360797856080624,false,false,1.0799998222062601,1.0837097641678117,false,false,false,false
crypto,full,2,snomd,8.0,1.0,1.421431625059117,false,false,1.1262385890638689,1.1030763490586097,false,false,false,false
crypto,full,2,snomd,32.0,1.0,1.421431625059117,false,false,1.1424918897399958,1.138887784670341,false,false,false,false
crypto,full,2,snomd,0.5,2.0,1.0000000000000002,false,false,1.0721056532623436,1.0863496934838293,false,false,false,false
crypto,full,2,snomd,2.0,2.0,2.1109118214521145,false,false,1.1750139582913772,1.1527821529124032,false,false,false,false
crypto,full,2,snomd,8.0,2.0,7.406545898491839,false,false,1.4877174963305975,1.7960478216576925,false,false,false,false
crypto,full,2,snomd,32.0,2.0,16.2960784929651,false,true,2.4263457711959773,5.440885086567464,true,true,true,true
crypto,full,2,snomd,0.5,4.0,2.0000000000000004,false,false,1.143203131580648,1.1420537933880242,false,false,false,false
crypto,full,2,snomd,2.0,4.0,4.135804662815833,false,false,1.4367080121589086,1.3987842516579032,false,false,false,false
crypto,full,2,snomd,8.0,4.0,19.603914082228712,false,true,3.062657867522238,7.498799227991229,true,true,true,true
crypto,full,2,snomd,32.0,4.0,60.46447818576702,false,true,18.133294944929244,68.67488097797356,true,true,true,true
crypto,full,2,snomd,0.5,8.0,4.000000000000001,false,false,1.330513916417777,1.246169783539819,false,false,false,false
crypto,full,2,snomd,2.0,8.0,9.968382765827162,false,true,2.379544617483583,4.060614724645531,true,true,true,true
crypto,full,2,snomd,8.0,8.0,39.2078281644574,false,true,10.052267036604128,34.0351606037412,true,true,true,true
crypto,full,2,snomd,32.0,8.0,128.2667087252034,false,true,95.07450028998397,379.05028637610565,true,true,true,true
crypto,full,2,ogd,0.0,0.01,0.06127826165228974,false,false,1.005356766035665,1.0084730036618608,false,false,false,false
crypto,full,2,ogd,0.0,0.1,0.5042499142759745,false,false,1.0425815594357832,1.0530760202310996,false,false,false,false
crypto,full,2,ogd,0.0,1.0,8212879363.806396,true,true,5.561050555599886e+17,2.284845635414165e+18,true,true,true,true
crypto,full,2,ogd,0.0,4.0,4.774644041611865e+153,true,true,1.8379766673200087e+300,9.000123053278553e+299,true,true,true,true
crypto,full,2,snomd,1000000000.0,0.01,0.0197177372790211,false,false,1.0017813765160344,1.002051897321034,false,false,false,false
crypto,full,2,snomd,1000000000.0,0.1,0.16910682765466145,false,false,1.0158875279371349,1.0203787333197134,false,false,false,false
crypto,full,2,snomd,1000000000.0,1.0,1.421431625059117,false,false,1.1425470566446996,1.138887784670341,false,false,false,false
crypto,full,2,snomd,1000000000.0,4.0,3350.7364797396467,false,true,1968216.233105651,1810166.142899244,true,true,true,true
crypto,half,0,snomd,0.5,0.5,0.28555445192373063,false,false,0.996033243523119,0.9898867614102509,false,false,false,false
crypto,half,0,snomd,2.0,0.5,0.49999999999999994,false,false,1.0068046706985696,0.9886507604695787,false,false,false,false
crypto,half,0,snomd,8.0,0.5,0.5218670258750321,false,false,1.0083865873910203,0.9945747614411182,false,false,false,false
